date,symbol,company_name,market_cap,market_cap_text,source_url
1985-02-28,LLY,Eli Lilly,5528000000.0,$5.528B,https://www.finhacker.cz/en/stocks/eli-lilly-market-cap/
1985-02-28,MCD,McDonald’s,5258000000.0,$5.258B,https://www.finhacker.cz/en/stocks/mcdonalds-market-cap/
1985-02-28,MMM,3M,9536000000.0,$9.536B,https://www.finhacker.cz/en/stocks/3m-market-cap/
1985-02-28,MO,Altria Group,11430000000.0,$11.43B,https://www.finhacker.cz/en/stocks/altria-group-market-cap/
1985-02-28,MRK,Merck,7216000000.0,$7.216B,https://www.finhacker.cz/en/stocks/merck-market-cap/
1985-02-28,MU,Micron Technology,222000000.0,$0.222B,https://www.finhacker.cz/en/stocks/micron-technology-market-cap/
1985-02-28,PEP,PepsiCo,4517000000.0,$4.517B,https://www.finhacker.cz/en/stocks/pepsico-market-cap/
1985-02-28,PFE,Pfizer,6138000000.0,$6.138B,https://www.finhacker.cz/en/stocks/pfizer-market-cap/
1985-02-28,PG,Procter & Gamble,9427000000.0,$9.427B,https://www.finhacker.cz/en/stocks/procter-gamble-market-cap/
1985-02-28,SLB,Schlumberger,12632000000.0,$12.632B,https://www.finhacker.cz/en/stocks/schlumberger-market-cap/
1985-02-28,T,AT&T,5526000000.0,$5.526B,https://www.finhacker.cz/en/stocks/att-market-cap/
1985-02-28,UNH,UnitedHealth Group,83965000.0,$83.965M,https://www.finhacker.cz/en/stocks/unitedhealth-group-market-cap/
1985-02-28,VZ,Verizon Communications,8281000000.000001,$8.281B,https://www.finhacker.cz/en/stocks/verizon-communications-market-cap/
1985-02-28,WFC,Wells Fargo,754000000.0,$0.754B,https://www.finhacker.cz/en/stocks/wells-fargo-market-cap/
1985-02-28,WMT,Walmart,6379000000.0,$6.379B,https://www.finhacker.cz/en/stocks/walmart-market-cap/
1985-02-28,XOM,Exxon Mobil,37193000000.0,$37.193B,https://www.finhacker.cz/en/stocks/exxon-mobil-market-cap/
1985-03-29,AAPL,Apple,1343000000.0,$1.343B,https://www.finhacker.cz/en/stocks/apple-market-cap/
1985-03-29,AIG,AIG,4421000000.0,$4.421B,https://www.finhacker.cz/en/stocks/american-international-group-market-cap/
1985-03-29,AMD,Advanced Micro Devices,1845000000.0,$1.845B,https://www.finhacker.cz/en/stocks/advanced-micro-devices-market-cap/
1985-03-29,AMGN,Amgen,59349000.0,$59.349M,https://www.finhacker.cz/en/stocks/amgen-market-cap/
1985-03-29,BA,Boeing,6067000000.0,$6.067B,https://www.finhacker.cz/en/stocks/boeing-market-cap/
1985-03-29,DIS,Walt Disney,2659000000.0,$2.659B,https://www.finhacker.cz/en/stocks/walt-disney-market-cap/
1985-03-29,FNMA,Fannie Mae,1079000000.0,$1.079B,https://www.finhacker.cz/en/stocks/fannie-mae-market-cap/
1985-03-29,GE,General Electric,16105000000.0,$16.105B,https://www.finhacker.cz/en/stocks/ge-aerospace-market-cap/
1985-03-29,HD,Home Depot,428000000.0,$0.428B,https://www.finhacker.cz/en/stocks/home-depot-market-cap/
1985-03-29,IBM,IBM,74330000000.0,$74.33B,https://www.finhacker.cz/en/stocks/international-business-machines-market-cap/
1985-03-29,INTC,Intel,3098000000.0,$3.098B,https://www.finhacker.cz/en/stocks/intel-market-cap/
1985-03-29,JNJ,Johnson & Johnson,7647000000.0,$7.647B,https://www.finhacker.cz/en/stocks/johnson-johnson-market-cap/
1985-03-29,JPM,JPMorgan Chase,1777000000.0,$1.777B,https://www.finhacker.cz/en/stocks/jpmorgan-chase-market-cap/
1985-03-29,K-202512,Kellogg Company,2874000000.0,$2.874B,https://www.finhacker.cz/en/stocks/kellanova-market-cap/
1985-03-29,KO,Coca-Cola,9167000000.0,$9.167B,https://www.finhacker.cz/en/stocks/coca-cola-market-cap/
1985-03-29,LLY,Eli Lilly,5564000000.0,$5.564B,https://www.finhacker.cz/en/stocks/eli-lilly-market-cap/
1985-03-29,MCD,McDonald’s,5171000000.0,$5.171B,https://www.finhacker.cz/en/stocks/mcdonalds-market-cap/
1985-03-29,MMM,3M,9565000000.0,$9.565B,https://www.finhacker.cz/en/stocks/3m-market-cap/
1985-03-29,MO,Altria Group,11777000000.0,$11.777B,https://www.finhacker.cz/en/stocks/altria-group-market-cap/
1985-03-29,MRK,Merck,7577000000.0,$7.577B,https://www.finhacker.cz/en/stocks/merck-market-cap/
1985-03-29,MU,Micron Technology,220000000.0,$0.22B,https://www.finhacker.cz/en/stocks/micron-technology-market-cap/
1985-03-29,PEP,PepsiCo,5140000000.0,$5.14B,https://www.finhacker.cz/en/stocks/pepsico-market-cap/
1985-03-29,PFE,Pfizer,6538000000.0,$6.538B,https://www.finhacker.cz/en/stocks/pfizer-market-cap/
1985-03-29,PG,Procter & Gamble,9200000000.0,$9.2B,https://www.finhacker.cz/en/stocks/procter-gamble-market-cap/
1985-03-29,SLB,Schlumberger,11579000000.0,$11.579B,https://www.finhacker.cz/en/stocks/schlumberger-market-cap/
1985-03-29,T,AT&T,5582000000.0,$5.582B,https://www.finhacker.cz/en/stocks/att-market-cap/
1985-03-29,UNH,UnitedHealth Group,73169000.0,$73.169M,https://www.finhacker.cz/en/stocks/unitedhealth-group-market-cap/
1985-03-29,VZ,Verizon Communications,8281000000.000001,$8.281B,https://www.finhacker.cz/en/stocks/verizon-communications-market-cap/
1985-03-29,WFC,Wells Fargo,765000000.0,$0.765B,https://www.finhacker.cz/en/stocks/wells-fargo-market-cap/
1985-03-29,WMT,Walmart,6257000000.0,$6.257B,https://www.finhacker.cz/en/stocks/walmart-market-cap/
1985-03-29,XOM,Exxon Mobil,39346000000.0,$39.346B,https://www.finhacker.cz/en/stocks/exxon-mobil-market-cap/
1985-04-30,AAPL,Apple,1307000000.0,$1.307B,https://www.finhacker.cz/en/stocks/apple-market-cap/
1985-04-30,AIG,AIG,4559000000.0,$4.559B,https://www.finhacker.cz/en/stocks/american-international-group-market-cap/
1985-04-30,AMD,Advanced Micro Devices,1553000000.0,$1.553B,https://www.finhacker.cz/en/stocks/advanced-micro-devices-market-cap/
1985-04-30,AMGN,Amgen,66093999.99999999,$66.094M,https://www.finhacker.cz/en/stocks/amgen-market-cap/
1985-04-30,BA,Boeing,5861000000.0,$5.861B,https://www.finhacker.cz/en/stocks/boeing-market-cap/
1985-04-30,DIS,Walt Disney,2533000000.0,$2.533B,https://www.finhacker.cz/en/stocks/walt-disney-market-cap/
1985-04-30,FNMA,Fannie Mae,1038000000.0,$1.038B,https://www.finhacker.cz/en/stocks/fannie-mae-market-cap/
1985-04-30,GE,General Electric,16105000000.0,$16.105B,https://www.finhacker.cz/en/stocks/ge-aerospace-market-cap/
1985-04-30,HD,Home Depot,446000000.0,$0.446B,https://www.finhacker.cz/en/stocks/home-depot-market-cap/
1985-04-30,IBM,IBM,74038000000.0,$74.038B,https://www.finhacker.cz/en/stocks/international-business-machines-market-cap/
1985-04-30,INTC,Intel,3129000000.0,$3.129B,https://www.finhacker.cz/en/stocks/intel-market-cap/
1985-04-30,JNJ,Johnson & Johnson,8023999999.999999,$8.024B,https://www.finhacker.cz/en/stocks/johnson-johnson-market-cap/
1985-04-30,JPM,JPMorgan Chase,1794000000.0,$1.794B,https://www.finhacker.cz/en/stocks/jpmorgan-chase-market-cap/
1985-04-30,K-202512,Kellogg Company,2758000000.0,$2.758B,https://www.finhacker.cz/en/stocks/kellanova-market-cap/
1985-04-30,KO,Coca-Cola,8971000000.0,$8.971B,https://www.finhacker.cz/en/stocks/coca-cola-market-cap/
1985-04-30,LLY,Eli Lilly,5494000000.0,$5.494B,https://www.finhacker.cz/en/stocks/eli-lilly-market-cap/
1985-04-30,MCD,McDonald’s,5214000000.0,$5.214B,https://www.finhacker.cz/en/stocks/mcdonalds-market-cap/
1985-04-30,MMM,3M,9000000000.0,$9B,https://www.finhacker.cz/en/stocks/3m-market-cap/
1985-04-30,MO,Altria Group,10434000000.0,$10.434B,https://www.finhacker.cz/en/stocks/altria-group-market-cap/
1985-04-30,MRK,Merck,7320000000.0,$7.32B,https://www.finhacker.cz/en/stocks/merck-market-cap/
1985-04-30,MU,Micron Technology,205000000.0,$0.205B,https://www.finhacker.cz/en/stocks/micron-technology-market-cap/
1985-04-30,PEP,PepsiCo,5196000000.0,$5.196B,https://www.finhacker.cz/en/stocks/pepsico-market-cap/
1985-04-30,PFE,Pfizer,6777000000.0,$6.777B,https://www.finhacker.cz/en/stocks/pfizer-market-cap/
1985-04-30,PG,Procter & Gamble,8647000000.0,$8.647B,https://www.finhacker.cz/en/stocks/procter-gamble-market-cap/
1985-04-30,SLB,Schlumberger,11767000000.0,$11.767B,https://www.finhacker.cz/en/stocks/schlumberger-market-cap/
1985-04-30,T,AT&T,5619000000.0,$5.619B,https://www.finhacker.cz/en/stocks/att-market-cap/
1985-04-30,UNH,UnitedHealth Group,60996000.0,$60.996M,https://www.finhacker.cz/en/stocks/unitedhealth-group-market-cap/
1985-04-30,VZ,Verizon Communications,8679000000.0,$8.679B,https://www.finhacker.cz/en/stocks/verizon-communications-market-cap/
1985-04-30,WFC,Wells Fargo,749000000.0,$0.749B,https://www.finhacker.cz/en/stocks/wells-fargo-market-cap/
1985-04-30,WMT,Walmart,6572000000.0,$6.572B,https://www.finhacker.cz/en/stocks/walmart-market-cap/
1985-04-30,XOM,Exxon Mobil,40325000000.0,$40.325B,https://www.finhacker.cz/en/stocks/exxon-mobil-market-cap/
1985-05-31,AAPL,Apple,1069000000.0,$1.069B,https://www.finhacker.cz/en/stocks/apple-market-cap/
