strategy,layer,policy,cagr,volatility,sharpe,max_drawdown,total_return,worst_day,final_nav,mean_exposure,mean_positions,negative_cash_days,mean_borrowed_weight,min_cash_weight,orders,fills,fill_rate,closed_trades,open_trades,native_forced_liquidations,closed_trade_net_pnl,terminal_trade_net_pnl,terminal_mark_value,mean_trade_return,median_trade_return,win_rate,worst_trade,mean_loss,trade_cvar5,mean_duration,daily_correlation,monthly_correlation,beta,annual_turnover,commission_total,cash_friction_total,dividend_total,dividend_events_independently_verified,cash_error_max,trade_nav_error,daily_mark_error,zero_volume_selected,zero_volume_filled
hpi235,central,limit_1pct,0.16615632274906922,0.1379876976751305,1.1831340150457919,-0.17312076849703328,11.944433226633157,-0.07834431920268736,1294443.3226633132,0.5244494628384968,5.369938065745593,6,2.8177731306155787e-06,-0.0025091003471860453,7010,3256,0.4644793152639087,3246,10,1,1241699.9013913558,-47256.578728040215,1229057.4466247559,0.00848023831893562,0.012694701460564057,0.6531115218730745,-0.4761822515469516,-0.03862400967952882,-0.11995351763971217,7.915588416512631,0.671542380014992,0.46230307394968007,0.5393235365330714,41.94598303973883,25822.770000000004,41081.93711463206,52688.636372689856,280,3.026798367500305e-09,2.3283064365386963e-09,0.0,0,0
hpi235,central,limit_2pct,0.12050086297095208,0.11923433711951319,1.0138890126947078,-0.17345456200932785,5.654944360962461,-0.0743609510599117,665494.4360962401,0.31089226056772795,3.2160552644116245,2,2.68033019109962e-06,-0.005760313559625163,9724,1918,0.1972439325380502,1910,8,0,591136.4848848069,-25642.048788566743,500626.52251434326,0.010795857576691244,0.016427097778842478,0.6544502617801047,-0.47083462146069605,-0.04225993811826676,-0.13145637079918185,8.03979057591623,0.6047876802893212,0.426948599351303,0.4197008580628493,25.141831591914066,11223.495,14111.734334019842,14033.910181919695,147,4.656612873077393e-10,2.3283064365386963e-10,0.0,0,0
hpi235,stress,moo,0.0961872270097126,0.1542956358179472,0.6724247412054485,-0.20638953550711647,3.617735739621864,-0.07935486611188425,461773.57396218536,0.7190190200483999,7.290376369699857,121,0.00012302480422126088,-0.021298960959886665,4719,4714,0.998940453485908,4704,10,0,380768.860114435,-18995.28615224981,444140.2783355713,0.0036578743160493488,0.0079123704569109,0.6184098639455783,-0.48282174472016987,-0.034424567242278915,-0.11483335433975213,7.484481292517007,0.705223866880749,0.5641615557789296,0.6333098222984738,58.67156931708622,19077.83,205243.3894566774,32842.63837944623,390,5.26142684975639e-10,1.7462298274040222e-10,0.0,0,0
hpi235,stress,limit_0.5pct,0.11569247017831419,0.14633561221273558,0.8213144768255517,-0.19721175515486433,5.19485335019605,-0.0791161405740961,619485.3350196041,0.6204041351239946,6.323487374940448,12,1.2157116714304404e-05,-0.014747848579250695,5875,3990,0.6791489361702128,3981,9,0,560279.1950931323,-40793.86007352781,524845.8929443359,0.005123952077194754,0.008946576167912584,0.6317508163777945,-0.4803376383480903,-0.03647402435704912,-0.11697623586647544,7.6425521225822655,0.692219434335431,0.5059339973579217,0.5895618820694675,50.35529853505099,18902.345,248972.5354739822,34982.90375266643,318,8.149072527885437e-10,3.4924596548080444e-10,0.0,0,0
hpi235,stress,limit_1pct,0.10593513954051281,0.13798873738036246,0.7987017005240482,-0.21653223663134868,4.351562011712931,-0.07887428021140153,535156.2011712957,0.510999731036265,5.231300619342544,4,1.2316868113865802e-06,-0.003548669281422115,7179,3176,0.44240144866973113,3167,9,1,459033.25804799946,-23877.05687670452,456656.5059967041,0.005877577115756533,0.010117314170524215,0.6267761288285444,-0.4777067678346968,-0.03861102477742744,-0.12274842161904627,7.905273129144301,0.6693187187170191,0.47423748730843707,0.5375417383689279,40.11589742138032,16091.439999999999,197772.47833369073,28295.506255987217,272,8.731149137020111e-10,8.149072527885437e-10,0.0,0,0
hpi235,stress,limit_2pct,0.09283188640998352,0.11859066384996578,0.807818976235452,-0.18224453115184558,3.3878320109059183,-0.07501240390378405,438783.2010905917,0.3015502050316267,3.120057170080991,2,2.6700340447542334e-06,-0.005738518895764757,9859,1854,0.18805152652398824,1846,8,0,356170.37220496824,-17387.1711143776,330806.9750518799,0.008857796780243461,0.014417595838654526,0.6386782231852655,-0.4723644899554591,-0.042484447941645374,-0.13275055816361125,8.065547128927411,0.6030156981544507,0.4220908080554841,0.4162120963952575,23.796885799216064,9205.935,93650.86699687572,10942.178563432535,146,1.6880221664905548e-09,1.1641532182693481e-09,0.0,0,0
sector,central,moo,0.07342175213995716,0.07326903240306687,1.0037454874120288,-0.10426934566865043,2.2553347365857714,-0.05171771919415635,325533.4736585746,0.3231517447034738,2.37065269175798,0,0.0,0.28570812270945006,943,943,1.0,939,4,0,229849.43882211033,-4315.965163535184,175274.8930104503,0.009598750261463179,0.009735557757421727,0.6517571884984026,-0.1314973923011537,-0.02372438224659941,-0.06957826373446191,11.552715654952078,0.7407086362153068,0.6660597595210979,0.3158664098195166,15.717729587035123,5457.803656019912,0.0,17075.938023962466,158,6.984919309616089e-10,5.238689482212067e-10,5.820766091346741e-11,0,0
sector,central,limit_0.5pct,0.054747669243011554,0.06313525535618271,0.8758890144627902,-0.09840614221802346,1.4301095594425792,-0.0515524280058447,243010.9559442568,0.2191861873687478,1.612672701286327,0,0.0,0.2976277117355645,1128,651,0.5771276595744681,649,2,0,144884.8620543073,-1873.9061100508984,64990.297006515655,0.01045594364001561,0.011867470129558058,0.6533127889060092,-0.1271648408534963,-0.024935188406108127,-0.07052777460254579,11.394453004622497,0.6894910210464227,0.5853570157486895,0.25335888314094707,10.703020747761235,3414.7566171609215,3539.6134527551626,11497.040317511735,117,5.820766091346741e-10,3.7834979593753815e-10,2.9103830456733704e-11,0,0
sector,central,limit_1pct,0.0382930501903469,0.05420433538197027,0.7203968869109091,-0.08439713347986655,0.8701205155605083,-0.05138803089355526,187012.05155605075,0.12863548904879016,0.9511672224868986,0,0.0,0.29638637743537083,1320,410,0.3106060606060606,408,2,0,87914.03668256347,-901.9851265127338,50061.937030318426,0.011805180705062472,0.011059388581134932,0.6666666666666666,-0.12275531984770582,-0.02727121536252295,-0.07304786504921196,10.772058823529411,0.6349017581494938,0.4966574894657696,0.20029777875074914,6.749219662153093,1850.2460679988492,1828.5577091521864,5465.921415808357,70,1.6007106751203537e-10,1.4551915228366852e-11,2.9103830456733704e-11,0,0
sector,central,limit_2pct,0.0156357238336029,0.03915040931006896,0.4158520462361226,-0.08934911025291259,0.29492911469146454,-0.05380673660990387,129492.9114691458,0.03552878967577087,0.26393520724154357,0,0.0,0.2978870080638766,1530,134,0.08758169934640522,134,0,0,29492.911469145613,0.0,0.0,0.015128757268466827,0.01291568259395185,0.6567164179104478,-0.11380129249921295,-0.03198969140761815,-0.08890997627700668,9.26865671641791,0.4970121775295076,0.20394348789012554,0.11325018398747769,2.1355904825545413,560.7511433445368,486.7181279524689,1276.0159221022698,18,1.8189894035458565e-10,1.8189894035458565e-10,1.4551915228366852e-11,0,0
sector,stress,moo,0.05702336012963438,0.0734190016673046,0.7921143993669276,-0.10713950500575231,1.5189445492239342,-0.05175934726465914,251894.45492239395,0.32339759830945924,2.37065269175798,0,0.0,0.28528470269195594,943,943,1.0,939,4,0,155376.09899507594,-3481.644072682106,135718.91234996528,0.007589530167224635,0.007725480929802664,0.630457933972311,-0.13336617199483622,-0.024275197704700463,-0.07150711170266102,11.552715654952078,0.7401432006161434,0.6751323957791875,0.3162713178678847,15.669526102794121,4840.088478761872,41539.280646903964,14872.155694207213,158,3.7834979593753815e-10,1.1641532182693481e-10,5.820766091346741e-11,0,0
sector,stress,limit_0.5pct,0.03779982691934425,0.06188984711040534,0.630481215259196,-0.09975022487234253,0.8553763358554662,-0.0515937026540616,185537.63358554756,0.20944779269854413,1.5402572653644593,0,0.0,0.2972740870994415,1151,621,0.5395308427454387,619,2,0,87019.96881737524,-1482.3352318276743,49636.629276973545,0.007725325595840273,0.008958697938708524,0.617124394184168,-0.12903820456063805,-0.02515395218283133,-0.07375957713447388,11.407108239095315,0.685663776294218,0.6078558683748584,0.2469825076198633,10.188516619663213,2907.01815899939,26223.87692759547,8752.556878214373,108,3.7834979593753815e-10,0.0,2.9103830456733704e-11,0,0
sector,stress,limit_1pct,0.030005148343451138,0.05374356087115162,0.576972102345114,-0.09431644729605271,0.636394550689906,-0.05142887460727308,163639.45506898972,0.12054931427167491,0.8906622201048118,0,0.0,0.2960329765058152,1343,395,0.29411764705882354,393,2,0,64473.46657195664,-834.0115029670285,43814.18232235957,0.009731857704655282,0.00907695495895971,0.638676844783715,-0.12463309448266133,-0.0281348625535344,-0.076046014795585,10.498727735368957,0.6294783186700688,0.5209755329805541,0.19689867506311032,6.478509421020264,1712.5934993873134,14731.354497998243,4817.049565582805,66,2.3283064365386963e-10,1.0186340659856796e-10,2.9103830456733704e-11,0,0
sector,stress,limit_2pct,0.012640697014727698,0.03889670016028732,0.3423854740522098,-0.09060158925993533,0.23276318924589212,-0.05383431771610492,123276.31892458923,0.03426264471065243,0.25440686040971894,0,0.0,0.2974511766021815,1536,128,0.08333333333333333,128,0,0,23276.318924589068,0.0,0.0,0.012944979840323197,0.010900710613663728,0.609375,-0.11568802401819862,-0.03127229697663944,-0.09082255797661476,9.34375,0.4964692886288625,0.23511735780641446,0.11239337875918602,2.044461447168805,531.0538303575515,4113.145677821242,1251.5453647772147,18,2.3283064365386963e-10,1.6007106751203537e-10,1.4551915228366852e-11,0,0
