strategy,layer,policy,year,return
hpi235,central,limit_2pct,2015,0.14338916583691885
hpi235,central,limit_2pct,2016,0.12734875699402237
hpi235,central,limit_2pct,2017,0.05631198397561055
hpi235,central,limit_2pct,2018,0.009771376199682935
hpi235,central,limit_2pct,2019,0.04689897163242773
hpi235,central,limit_2pct,2020,0.3614359161924132
hpi235,central,limit_2pct,2021,0.14670248661763696
hpi235,central,limit_2pct,2022,0.14903623795433418
hpi235,central,limit_2pct,2023,0.12926348793690057
hpi235,central,limit_2pct,2024,0.1353964027534107
hpi235,central,limit_2pct,2025,0.06353407387497123
hpi235,central,limit_2pct,2026,0.18114250367178242
hpi235,stress,moo,2010,-0.006701381152637964
hpi235,stress,moo,2011,0.09971130209885559
hpi235,stress,moo,2012,0.10937978564503381
hpi235,stress,moo,2013,0.09512441498902446
hpi235,stress,moo,2014,0.013846041396347486
hpi235,stress,moo,2015,-0.019465365691120895
hpi235,stress,moo,2016,0.07137520272590492
hpi235,stress,moo,2017,0.005886588150880945
hpi235,stress,moo,2018,-0.050702735811409494
hpi235,stress,moo,2019,0.13541269936552536
hpi235,stress,moo,2020,0.35902817487568317
hpi235,stress,moo,2021,0.44119183756147096
hpi235,stress,moo,2022,0.12810461865048728
hpi235,stress,moo,2023,0.1672032472667082
hpi235,stress,moo,2024,0.021932805604948147
hpi235,stress,moo,2025,0.034336016151811366
hpi235,stress,moo,2026,0.10538917343296039
hpi235,stress,limit_0.5pct,2010,0.0006248197360334551
hpi235,stress,limit_0.5pct,2011,0.055550581234513396
hpi235,stress,limit_0.5pct,2012,0.14305749418496805
hpi235,stress,limit_0.5pct,2013,0.11150328561971623
hpi235,stress,limit_0.5pct,2014,0.039089063062322404
hpi235,stress,limit_0.5pct,2015,0.08008337401058263
hpi235,stress,limit_0.5pct,2016,0.21929010819013506
hpi235,stress,limit_0.5pct,2017,0.11579897150169294
hpi235,stress,limit_0.5pct,2018,-0.018275016418108136
hpi235,stress,limit_0.5pct,2019,0.0628967094858639
hpi235,stress,limit_0.5pct,2020,0.3610136505286907
hpi235,stress,limit_0.5pct,2021,0.3618140375082788
hpi235,stress,limit_0.5pct,2022,0.13164863565396634
hpi235,stress,limit_0.5pct,2023,0.07939509109273724
hpi235,stress,limit_0.5pct,2024,0.053961547040607405
hpi235,stress,limit_0.5pct,2025,0.060378806316956135
hpi235,stress,limit_0.5pct,2026,0.14514315122613697
hpi235,stress,limit_1pct,2010,0.09151648022149361
hpi235,stress,limit_1pct,2011,0.05374977334330544
hpi235,stress,limit_1pct,2012,0.13869889586539252
hpi235,stress,limit_1pct,2013,0.15330340420721722
hpi235,stress,limit_1pct,2014,0.04059687874822604
hpi235,stress,limit_1pct,2015,0.08352675110696328
hpi235,stress,limit_1pct,2016,0.1751515213815562
hpi235,stress,limit_1pct,2017,0.075348206929434
hpi235,stress,limit_1pct,2018,-0.025825807290619784
hpi235,stress,limit_1pct,2019,0.048564733338192
hpi235,stress,limit_1pct,2020,0.2804118574632317
hpi235,stress,limit_1pct,2021,0.25768258340637207
hpi235,stress,limit_1pct,2022,0.21569867805748144
hpi235,stress,limit_1pct,2023,0.133599816022143
hpi235,stress,limit_1pct,2024,0.06037036099697346
hpi235,stress,limit_1pct,2025,-0.06024207916033797
hpi235,stress,limit_1pct,2026,0.10073625331559644
hpi235,stress,limit_2pct,2010,0.025073606339368393
hpi235,stress,limit_2pct,2011,-0.03231831063212098
hpi235,stress,limit_2pct,2012,0.09421830660855424
hpi235,stress,limit_2pct,2013,0.17013045802648197
hpi235,stress,limit_2pct,2014,0.13612539841047933
hpi235,stress,limit_2pct,2015,0.12660163110884648
hpi235,stress,limit_2pct,2016,0.08511171921201499
hpi235,stress,limit_2pct,2017,0.023560295852282698
hpi235,stress,limit_2pct,2018,-0.021317816087653818
hpi235,stress,limit_2pct,2019,0.027993893738205378
hpi235,stress,limit_2pct,2020,0.3394058848071597
hpi235,stress,limit_2pct,2021,0.13894561388157234
hpi235,stress,limit_2pct,2022,0.10401904272740858
hpi235,stress,limit_2pct,2023,0.1060966353759416
hpi235,stress,limit_2pct,2024,0.09608595067975734
hpi235,stress,limit_2pct,2025,0.03146720958430205
hpi235,stress,limit_2pct,2026,0.14689206487570328
sector,central,moo,2010,0.08989270931938198
sector,central,moo,2011,0.021804880471326227
sector,central,moo,2012,0.09126139546081813
sector,central,moo,2013,0.10471297559725046
sector,central,moo,2014,0.06571881260642165
sector,central,moo,2015,0.021896799523502652
sector,central,moo,2016,0.006120288318071099
sector,central,moo,2017,0.06563609512959911
sector,central,moo,2018,-0.0007163082361556494
sector,central,moo,2019,0.15841410754082252
sector,central,moo,2020,0.14244169368912507
sector,central,moo,2021,0.13088765812025982
sector,central,moo,2022,0.06275575052716786
sector,central,moo,2023,0.09454419032804795
sector,central,moo,2024,0.05699856934280434
sector,central,moo,2025,0.06594788713562849
sector,central,moo,2026,0.0594339896620566
sector,central,limit_0.5pct,2010,0.08873936904154212
sector,central,limit_0.5pct,2011,-0.029146453894152602
sector,central,limit_0.5pct,2012,0.06935730769140913
sector,central,limit_0.5pct,2013,0.08769630097282533
sector,central,limit_0.5pct,2014,0.08608369924178727
sector,central,limit_0.5pct,2015,0.05933131035468997
sector,central,limit_0.5pct,2016,0.021961809293668866
sector,central,limit_0.5pct,2017,0.04256956269527268
sector,central,limit_0.5pct,2018,-0.013702216959088909
sector,central,limit_0.5pct,2019,0.07581140108380291
sector,central,limit_0.5pct,2020,0.11328886484514
sector,central,limit_0.5pct,2021,0.08778161656393557
sector,central,limit_0.5pct,2022,0.03713804939855625
sector,central,limit_0.5pct,2023,0.06390775175192642
sector,central,limit_0.5pct,2024,0.03299796215191053
sector,central,limit_0.5pct,2025,0.054136271758034704
sector,central,limit_0.5pct,2026,0.04436511600905502
sector,central,limit_1pct,2010,0.0039748313561629445
sector,central,limit_1pct,2011,-0.029906476547200134
sector,central,limit_1pct,2012,0.038003031860894376
sector,central,limit_1pct,2013,0.06599308496927958
sector,central,limit_1pct,2014,0.07342541419742599
sector,central,limit_1pct,2015,0.03631163593992315
sector,central,limit_1pct,2016,0.005726283374103414
sector,central,limit_1pct,2017,0.006024256602346512
sector,central,limit_1pct,2018,0.019467807789570468
sector,central,limit_1pct,2019,0.05143933434812431
sector,central,limit_1pct,2020,0.07258777591121901
sector,central,limit_1pct,2021,0.06759733066170925
sector,central,limit_1pct,2022,0.03430334460921136
sector,central,limit_1pct,2023,0.09391410687126012
sector,central,limit_1pct,2024,0.009575019139262952
sector,central,limit_1pct,2025,0.04051365672214624
sector,central,limit_1pct,2026,0.05685173056109338
sector,central,limit_2pct,2010,0.0004330120307867169
sector,central,limit_2pct,2011,-0.03401867305721107
sector,central,limit_2pct,2012,0.004206942729473528
sector,central,limit_2pct,2013,0.029198882891389166
sector,central,limit_2pct,2014,0.014718754930732159
sector,central,limit_2pct,2015,0.013869549326204211
sector,central,limit_2pct,2016,0.021965911846429265
sector,central,limit_2pct,2017,0.004141795272878168
sector,central,limit_2pct,2018,0.02285937072754818
sector,central,limit_2pct,2019,0.016326130910002234
sector,central,limit_2pct,2020,0.05878491129955088
sector,central,limit_2pct,2021,0.041980212259416616
sector,central,limit_2pct,2022,0.024880742791638655
sector,central,limit_2pct,2023,0.0199284846615031
sector,central,limit_2pct,2024,-0.010799405879787338
sector,central,limit_2pct,2025,0.02598384843968149
sector,central,limit_2pct,2026,0.009307084583624281
sector,stress,moo,2010,0.07483685892232317
sector,stress,moo,2011,0.007250877656183263
sector,stress,moo,2012,0.07855477112270104
sector,stress,moo,2013,0.08636765704809801
sector,stress,moo,2014,0.05071590198948961
sector,stress,moo,2015,0.0040613231058101995
sector,stress,moo,2016,-0.007228194338511407
sector,stress,moo,2017,0.049898500209336616
sector,stress,moo,2018,-0.017189697965700024
sector,stress,moo,2019,0.14211950074082935
sector,stress,moo,2020,0.12436119501022436
sector,stress,moo,2021,0.11640666714285897
sector,stress,moo,2022,0.04312532149360737
sector,stress,moo,2023,0.07503260061186046
sector,stress,moo,2024,0.03825787858269236
sector,stress,moo,2025,0.04938013271152064
sector,stress,moo,2026,0.04899003870133645
sector,stress,limit_0.5pct,2010,0.05019386705245732
sector,stress,limit_0.5pct,2011,-0.03783424939581259
sector,stress,limit_0.5pct,2012,0.05981225995879269
sector,stress,limit_0.5pct,2013,0.07427545243770428
sector,stress,limit_0.5pct,2014,0.07298098058927205
sector,stress,limit_0.5pct,2015,0.04596075747456507
sector,stress,limit_0.5pct,2016,0.011648367057969455
sector,stress,limit_0.5pct,2017,0.034159713349089404
sector,stress,limit_0.5pct,2018,-0.02605535604562459
sector,stress,limit_0.5pct,2019,0.06578609918743039
sector,stress,limit_0.5pct,2020,0.0745318080500672
sector,stress,limit_0.5pct,2021,0.07039973354924833
sector,stress,limit_0.5pct,2022,0.013029125231284633
sector,stress,limit_0.5pct,2023,0.043725195282087403
sector,stress,limit_0.5pct,2024,0.018127616760232668
sector,stress,limit_0.5pct,2025,0.029705646643861883
sector,stress,limit_0.5pct,2026,0.037887857005224124
sector,stress,limit_1pct,2010,-0.0028120095325449013
sector,stress,limit_1pct,2011,-0.04153326091354581
sector,stress,limit_1pct,2012,0.039901899309606303
sector,stress,limit_1pct,2013,0.06401941970362812
sector,stress,limit_1pct,2014,0.05808582815546903
sector,stress,limit_1pct,2015,0.021433406932029886
sector,stress,limit_1pct,2016,-0.0015720618765536765
sector,stress,limit_1pct,2017,0.0044821653054918364
sector,stress,limit_1pct,2018,0.010982290235233672
sector,stress,limit_1pct,2019,0.03697686091770236
sector,stress,limit_1pct,2020,0.05933345033811288
sector,stress,limit_1pct,2021,0.054969615182847154
sector,stress,limit_1pct,2022,0.03439870116292565
sector,stress,limit_1pct,2023,0.07854899558355943
sector,stress,limit_1pct,2024,0.005276044765738952
sector,stress,limit_1pct,2025,0.033565401027003006
sector,stress,limit_1pct,2026,0.051152456135330926
sector,stress,limit_2pct,2010,-0.002952869805347813
sector,stress,limit_2pct,2011,-0.038153647174552496
sector,stress,limit_2pct,2012,0.0036670866034191896
sector,stress,limit_2pct,2013,0.028375330366336105
sector,stress,limit_2pct,2014,0.01024905386123498
sector,stress,limit_2pct,2015,0.011730839516303382
sector,stress,limit_2pct,2016,0.01933436514480058
sector,stress,limit_2pct,2017,0.0036009368961178456
sector,stress,limit_2pct,2018,0.013477465624574858
sector,stress,limit_2pct,2019,0.015232411397107626
sector,stress,limit_2pct,2020,0.052827041835094235
sector,stress,limit_2pct,2021,0.040016036156692136
sector,stress,limit_2pct,2022,0.021043137315935212
sector,stress,limit_2pct,2023,0.013778779420994924
sector,stress,limit_2pct,2024,-0.011324318018170132
sector,stress,limit_2pct,2025,0.024094361761181293
sector,stress,limit_2pct,2026,0.008760383587659959
